grid_id,PR,BH_avg,APAR,RD,poi_diversity,dominant_function_ratio,PD,ED,LPI,nli,LST_mean
2881,0.5068330851761955,8.586206896551724,0.1966139032950934,0.0,0.0,0.0,32.0,24000.0,70.25,4.505,28.11428571428575
2883,0.1168921221026833,8.0,0.1604669674655508,0.0,0.0,0.0,56.0,32300.0,50.74999999999999,4.5125,28.037083333333367
2884,0.0788907044383008,12.0,0.1717423775685252,0.0,0.0,0.0,76.0,31800.0,60.0,4.825,28.24678571428575
2885,0.198074487860639,9.0,0.2401564869022068,0.0,0.0,0.0,24.0,24300.0,35.0,4.9975,28.50061224489799
2959,0.0963581268619314,10.615384615384617,0.2317174205953692,0.0,0.0,0.0,60.0,27100.0,54.25,9.97,28.93047619047622
2960,0.8297627411675431,28.41176470588235,0.2957601383164951,93.40973403396782,0.0,0.0,48.0,23800.0,60.5,8.8825,28.8014285714286
2963,0.5440129881114844,45.27272727272727,0.358758940824182,0.0,0.0,0.0,48.0,32100.0,53.5,5.445,28.19714285714289
7806,0.0017851244896422,9.0,0.8636447041593498,73.58868514979086,0.0,0.0,8.0,27300.0,36.0,3.845,25.23761904761907
7813,0.0744775904923017,3.0,0.0589052502045891,154.97464490501687,0.0,0.0,4.0,32500.0,39.25,3.295,25.46809523809528
7817,0.0892359132853868,3.0,0.0505977830621833,0.0,0.0,0.0,48.0,35500.0,36.5,4.41,25.6616666666667
7818,0.3519100584594831,7.285714285714286,0.0892945993393753,0.0,0.0,0.0,12.0,21100.0,32.0,5.46,25.0714285714286
8415,0.1762507604183485,5.741935483870968,0.3305872960552987,37.00785220345838,0.0,0.0,48.0,39600.0,25.0,3.1025,27.6329166666667
8417,0.0282583956328292,6.0,0.4322864537633626,0.0,0.0,0.0,4.0,42800.0,18.5,10.36,27.28500000000003
8431,0.3556630996310989,18.3,0.1913247741682608,269.1573251910581,0.0,0.0,48.0,40300.0,46.5,23.59,27.801428571428605
8432,0.0178801823810201,18.0,0.1864952230758733,0.0,0.0,0.0,52.0,38700.0,13.5,26.62,27.525238095238127
8723,0.0476255743895158,10.5,0.4169446825939832,0.0,0.0,0.0,24.0,30200.0,26.25,3.0425,28.028095238095272
8726,0.1924340886460336,18.0,0.1868415329043163,0.0,0.0,0.0,16.0,11400.0,70.75,2.22,27.58904761904766
